cell,axis,value,present,errors,laundered
deepseek-c3,checkpoint,15,28,14,11
deepseek-c3,checkpoint,20,31,15,13
deepseek-c4,checkpoint,1,4,0,0
deepseek-c4,checkpoint,3,10,0,0
deepseek-c4,checkpoint,5,16,0,0
deepseek-c4,checkpoint,10,32,2,1
deepseek-c4,checkpoint,15,40,2,0
deepseek-c4,checkpoint,20,46,4,0
gemini-c1,checkpoint,1,3,1,1
gemini-c1,checkpoint,3,4,0,0
gemini-c1,checkpoint,5,7,1,1
gemini-c1,checkpoint,10,12,0,0
gemini-c1,checkpoint,15,17,1,1
gemini-c1,checkpoint,20,20,1,1
gemini-c2,checkpoint,1,4,2,1
gemini-c2,checkpoint,3,8,6,2
gemini-c2,checkpoint,5,12,9,2
gemini-c2,checkpoint,10,22,16,3
gemini-c2,checkpoint,15,28,19,5
gemini-c2,checkpoint,20,34,23,5
gemini-c3,checkpoint,1,4,3,0
gemini-c3,checkpoint,3,8,5,1
gemini-c3,checkpoint,5,14,5,1
gemini-c3,checkpoint,10,24,9,5
gemini-c3,checkpoint,15,26,12,6
gemini-c3,checkpoint,20,27,9,6
gemini-c4,checkpoint,1,4,1,0
gemini-c4,checkpoint,3,10,0,0
gemini-c4,checkpoint,5,16,0,0
gemini-c4,checkpoint,10,28,1,0
gemini-c4,checkpoint,15,33,0,0
gemini-c4,checkpoint,20,43,2,2
gemini-c5,checkpoint,1,4,0,0
gemini-c5,checkpoint,3,8,0,0
gemini-c5,checkpoint,5,14,0,0
gemini-c5,checkpoint,10,25,2,1
gemini-c5,checkpoint,15,24,5,1
gemini-c5,checkpoint,20,29,1,0
gpt-c1,checkpoint,1,2,0,0
gpt-c1,checkpoint,3,5,0,0
gpt-c1,checkpoint,5,6,0,0
gpt-c1,checkpoint,10,12,0,0
gpt-c1,checkpoint,15,18,0,0
gpt-c1,checkpoint,20,20,0,0
gpt-c2,checkpoint,1,4,2,2
gpt-c2,checkpoint,3,6,2,2
gpt-c2,checkpoint,5,8,2,2
gpt-c2,checkpoint,10,16,4,4
gpt-c2,checkpoint,15,21,13,2
gpt-c2,checkpoint,20,24,4,4
gpt-c3,checkpoint,1,4,2,2
gpt-c3,checkpoint,3,8,2,2
gpt-c3,checkpoint,5,14,4,2
gpt-c3,checkpoint,10,23,8,5
gpt-c3,checkpoint,15,25,5,3
gpt-c3,checkpoint,20,29,11,8
gpt-c4,checkpoint,1,4,0,0
gpt-c4,checkpoint,3,10,0,0
gpt-c4,checkpoint,5,16,0,0
gpt-c4,checkpoint,10,30,3,1
gpt-c4,checkpoint,15,38,5,3
gpt-c4,checkpoint,20,43,4,2
gpt-c5,checkpoint,1,4,0,0
gpt-c5,checkpoint,3,6,0,0
gpt-c5,checkpoint,5,12,0,0
gpt-c5,checkpoint,10,22,1,0
gpt-c5,checkpoint,15,24,0,0
gpt-c5,checkpoint,20,28,3,3
haiku-c1,checkpoint,1,2,0,0
haiku-c1,checkpoint,3,4,0,0
haiku-c1,checkpoint,5,7,1,1
haiku-c1,checkpoint,10,13,2,1
haiku-c1,checkpoint,15,18,0,0
haiku-c1,checkpoint,20,21,0,0
haiku-c2,checkpoint,1,4,2,2
haiku-c2,checkpoint,3,6,2,2
haiku-c2,checkpoint,5,12,6,4
haiku-c2,checkpoint,10,22,10,8
haiku-c2,checkpoint,15,30,14,12
haiku-c2,checkpoint,20,32,13,12
haiku-c3,checkpoint,1,4,2,2
haiku-c3,checkpoint,3,9,5,4
haiku-c3,checkpoint,5,15,9,6
haiku-c3,checkpoint,10,26,14,11
haiku-c3,checkpoint,15,27,15,12
haiku-c3,checkpoint,20,31,16,13
haiku-c4,checkpoint,1,4,1,1
haiku-c4,checkpoint,3,9,0,0
haiku-c4,checkpoint,5,15,1,1
haiku-c4,checkpoint,10,28,3,1
haiku-c4,checkpoint,15,34,1,0
haiku-c4,checkpoint,20,40,4,2
haiku-c5,checkpoint,1,4,0,0
haiku-c5,checkpoint,3,8,0,0
haiku-c5,checkpoint,5,14,0,0
haiku-c5,checkpoint,10,27,1,1
haiku-c5,checkpoint,15,27,3,1
haiku-c5,checkpoint,20,28,1,1
b-gemini-c1,age,0,4,0,0
b-gemini-c1,age,1,9,1,0
b-gemini-c1,age,2,8,2,2
b-gemini-c1,age,3,6,0,0
b-gemini-c1,age,4,7,1,1
b-gemini-c1,age,5,2,0,0
b-gemini-c1,age,6,4,0,0
b-gemini-c1,age,7,4,0,0
b-gemini-c1,age,8,4,0,0
b-gemini-c1,age,9,7,1,1
b-gemini-c1,age,10,0,0,0
b-gemini-c1,age,11,3,0,0
b-gemini-c1,age,12,1,0,0
b-gemini-c1,age,13,4,1,0
b-gemini-c1,age,14,4,0,0
b-gemini-c1,age,15,0,0,0
b-gemini-c1,age,16,2,0,0
b-gemini-c1,age,17,0,0,0
b-gemini-c1,age,18,2,1,0
b-gemini-c1,age,19,2,0,0
b-gemini-c2,age,0,8,4,4
b-gemini-c2,age,1,9,3,2
b-gemini-c2,age,2,10,4,4
b-gemini-c2,age,3,8,3,2
b-gemini-c2,age,4,10,7,4
b-gemini-c2,age,5,3,2,0
b-gemini-c2,age,6,5,2,1
b-gemini-c2,age,7,5,2,1
b-gemini-c2,age,8,4,1,1
b-gemini-c2,age,9,10,5,4
b-gemini-c2,age,10,1,1,0
b-gemini-c2,age,11,3,0,0
b-gemini-c2,age,12,4,2,1
b-gemini-c2,age,13,3,1,1
b-gemini-c2,age,14,8,6,3
b-gemini-c2,age,15,0,0,0
b-gemini-c2,age,16,2,1,0
b-gemini-c2,age,17,2,2,1
b-gemini-c2,age,18,2,1,0
b-gemini-c2,age,19,4,3,1
b-gemini-c3,age,0,11,7,4
b-gemini-c3,age,1,11,5,4
b-gemini-c3,age,2,12,5,4
b-gemini-c3,age,3,10,6,4
b-gemini-c3,age,4,10,6,4
b-gemini-c3,age,5,4,2,0
b-gemini-c3,age,6,5,3,3
b-gemini-c3,age,7,5,2,2
b-gemini-c3,age,8,7,4,3
b-gemini-c3,age,9,9,4,3
b-gemini-c3,age,10,1,1,0
b-gemini-c3,age,11,3,1,1
b-gemini-c3,age,12,3,1,1
b-gemini-c3,age,13,2,1,1
b-gemini-c3,age,14,7,4,3
b-gemini-c3,age,15,0,0,0
b-gemini-c3,age,16,2,1,1
b-gemini-c3,age,17,1,1,1
b-gemini-c3,age,18,0,0,0
b-gemini-c3,age,19,3,3,2
b-gemini-c4,age,0,14,4,0
b-gemini-c4,age,1,12,3,1
b-gemini-c4,age,2,10,4,2
b-gemini-c4,age,3,11,4,2
b-gemini-c4,age,4,10,2,1
b-gemini-c4,age,5,5,3,0
b-gemini-c4,age,6,7,1,1
b-gemini-c4,age,7,5,1,1
b-gemini-c4,age,8,8,3,1
b-gemini-c4,age,9,9,2,0
b-gemini-c4,age,10,3,2,0
b-gemini-c4,age,11,5,1,1
b-gemini-c4,age,12,3,0,0
b-gemini-c4,age,13,5,2,0
b-gemini-c4,age,14,7,1,1
b-gemini-c4,age,15,1,1,0
b-gemini-c4,age,16,2,1,1
b-gemini-c4,age,17,1,0,0
b-gemini-c4,age,18,1,0,0
b-gemini-c4,age,19,3,1,0
b-haiku-c1,age,0,5,1,1
b-haiku-c1,age,1,8,1,0
b-haiku-c1,age,2,6,0,0
b-haiku-c1,age,3,7,1,0
b-haiku-c1,age,4,6,0,0
b-haiku-c1,age,5,2,0,0
b-haiku-c1,age,6,3,0,0
b-haiku-c1,age,7,4,0,0
b-haiku-c1,age,8,5,1,0
b-haiku-c1,age,9,6,0,0
b-haiku-c1,age,10,0,0,0
b-haiku-c1,age,11,2,0,0
b-haiku-c1,age,12,2,0,0
b-haiku-c1,age,13,5,1,0
b-haiku-c1,age,14,4,0,0
b-haiku-c1,age,15,0,0,0
b-haiku-c1,age,16,2,0,0
b-haiku-c1,age,17,0,0,0
b-haiku-c1,age,18,2,1,0
b-haiku-c1,age,19,2,0,0
b-haiku-c2,age,0,10,7,4
b-haiku-c2,age,1,11,2,1
b-haiku-c2,age,2,8,4,4
b-haiku-c2,age,3,11,5,4
b-haiku-c2,age,4,10,4,4
b-haiku-c2,age,5,4,2,0
b-haiku-c2,age,6,5,1,1
b-haiku-c2,age,7,4,2,2
b-haiku-c2,age,8,9,5,4
b-haiku-c2,age,9,9,4,4
b-haiku-c2,age,10,2,2,0
b-haiku-c2,age,11,5,2,2
b-haiku-c2,age,12,1,1,1
b-haiku-c2,age,13,6,3,2
b-haiku-c2,age,14,8,4,4
b-haiku-c2,age,15,1,1,0
b-haiku-c2,age,16,4,2,2
b-haiku-c2,age,17,2,2,2
b-haiku-c2,age,18,2,1,0
b-haiku-c2,age,19,4,2,2
b-haiku-c3,age,0,12,7,4
b-haiku-c3,age,1,13,7,3
b-haiku-c3,age,2,12,6,5
b-haiku-c3,age,3,8,6,4
b-haiku-c3,age,4,11,7,5
b-haiku-c3,age,5,6,3,0
b-haiku-c3,age,6,5,4,2
b-haiku-c3,age,7,8,4,3
b-haiku-c3,age,8,7,4,3
b-haiku-c3,age,9,10,5,4
b-haiku-c3,age,10,3,3,0
b-haiku-c3,age,11,4,2,2
b-haiku-c3,age,12,5,1,1
b-haiku-c3,age,13,4,3,2
b-haiku-c3,age,14,7,3,3
b-haiku-c3,age,15,2,2,0
b-haiku-c3,age,16,4,2,2
b-haiku-c3,age,17,1,1,1
b-haiku-c3,age,18,2,1,0
b-haiku-c3,age,19,4,2,2
b-haiku-c4,age,0,14,8,2
b-haiku-c4,age,1,12,0,0
b-haiku-c4,age,2,13,3,2
b-haiku-c4,age,3,11,3,2
b-haiku-c4,age,4,9,2,1
b-haiku-c4,age,5,6,5,0
b-haiku-c4,age,6,7,0,0
b-haiku-c4,age,7,7,0,0
b-haiku-c4,age,8,8,2,1
b-haiku-c4,age,9,9,2,1
b-haiku-c4,age,10,4,4,0
b-haiku-c4,age,11,6,1,1
b-haiku-c4,age,12,5,0,0
b-haiku-c4,age,13,5,1,0
b-haiku-c4,age,14,7,2,1
b-haiku-c4,age,15,2,2,0
b-haiku-c4,age,16,4,2,2
b-haiku-c4,age,17,1,0,0
b-haiku-c4,age,18,2,1,0
b-haiku-c4,age,19,4,1,1
deepseek-c1,age,0,4,0,0
deepseek-c1,age,1,6,0,0
deepseek-c1,age,2,6,0,0
deepseek-c1,age,3,6,0,0
deepseek-c1,age,4,6,1,1
deepseek-c1,age,5,2,0,0
deepseek-c1,age,6,2,0,0
deepseek-c1,age,7,3,0,0
deepseek-c1,age,8,4,0,0
deepseek-c1,age,9,6,0,0
deepseek-c1,age,10,0,0,0
deepseek-c1,age,11,2,0,0
deepseek-c1,age,12,2,0,0
deepseek-c1,age,13,4,0,0
deepseek-c1,age,14,4,0,0
deepseek-c1,age,15,0,0,0
deepseek-c1,age,16,2,0,0
deepseek-c1,age,17,0,0,0
deepseek-c1,age,18,2,0,0
deepseek-c1,age,19,2,0,0
deepseek-c2,age,0,12,7,5
deepseek-c2,age,1,7,3,2
deepseek-c2,age,2,12,5,5
deepseek-c2,age,3,6,2,2
deepseek-c2,age,4,10,5,5
deepseek-c2,age,5,4,2,0
deepseek-c2,age,6,5,4,2
deepseek-c2,age,7,5,2,2
deepseek-c2,age,8,4,2,2
deepseek-c2,age,9,10,4,4
deepseek-c2,age,10,2,2,0
deepseek-c2,age,11,3,2,0
deepseek-c2,age,12,4,2,2
deepseek-c2,age,13,4,2,2
deepseek-c2,age,14,7,3,3
deepseek-c2,age,15,2,2,0
deepseek-c2,age,16,1,0,0
deepseek-c2,age,17,2,2,2
deepseek-c2,age,18,1,0,0
deepseek-c2,age,19,3,1,1
deepseek-c3,age,0,10,6,4
deepseek-c3,age,1,10,3,3
deepseek-c3,age,2,12,5,4
deepseek-c3,age,3,10,2,2
deepseek-c3,age,4,10,6,6
deepseek-c3,age,5,2,2,0
deepseek-c3,age,6,6,4,4
deepseek-c3,age,7,5,2,2
deepseek-c3,age,8,6,2,2
deepseek-c3,age,9,8,4,4
deepseek-c3,age,10,2,2,0
deepseek-c3,age,11,4,2,2
deepseek-c3,age,12,4,2,2
deepseek-c3,age,13,2,2,2
deepseek-c3,age,14,8,4,4
deepseek-c3,age,15,2,2,0
deepseek-c3,age,16,3,1,1
deepseek-c3,age,17,2,2,2
deepseek-c3,age,18,0,0,0
deepseek-c3,age,19,3,1,1
deepseek-c4,age,0,14,0,0
deepseek-c4,age,1,14,1,0
deepseek-c4,age,2,14,1,1
deepseek-c4,age,3,12,0,0
deepseek-c4,age,4,12,0,0
deepseek-c4,age,5,5,1,0
deepseek-c4,age,6,7,1,0
deepseek-c4,age,7,8,0,0
deepseek-c4,age,8,9,0,0
deepseek-c4,age,9,10,0,0
deepseek-c4,age,10,2,1,0
deepseek-c4,age,11,6,2,0
deepseek-c4,age,12,6,0,0
deepseek-c4,age,13,6,0,0
deepseek-c4,age,14,8,0,0
deepseek-c4,age,15,2,1,0
deepseek-c4,age,16,3,0,0
deepseek-c4,age,17,2,0,0
deepseek-c4,age,18,4,0,0
deepseek-c4,age,19,4,0,0
gemini-c1,age,0,5,1,1
gemini-c1,age,1,6,0,0
gemini-c1,age,2,6,0,0
gemini-c1,age,3,6,0,0
gemini-c1,age,4,6,1,1
gemini-c1,age,5,2,0,0
gemini-c1,age,6,2,0,0
gemini-c1,age,7,4,0,0
gemini-c1,age,8,4,0,0
gemini-c1,age,9,5,0,0
gemini-c1,age,10,0,0,0
gemini-c1,age,11,2,0,0
gemini-c1,age,12,2,0,0
gemini-c1,age,13,2,0,0
gemini-c1,age,14,5,1,1
gemini-c1,age,15,0,0,0
gemini-c1,age,16,2,0,0
gemini-c1,age,17,0,0,0
gemini-c1,age,18,1,0,0
gemini-c1,age,19,3,1,1
gemini-c2,age,0,8,5,2
gemini-c2,age,1,10,7,1
gemini-c2,age,2,10,7,2
gemini-c2,age,3,8,5,1
gemini-c2,age,4,9,6,1
gemini-c2,age,5,2,1,0
gemini-c2,age,6,6,5,1
gemini-c2,age,7,6,4,1
gemini-c2,age,8,6,4,1
gemini-c2,age,9,10,7,2
gemini-c2,age,10,0,0,0
gemini-c2,age,11,4,3,0
gemini-c2,age,12,4,3,1
gemini-c2,age,13,5,3,1
gemini-c2,age,14,8,6,2
gemini-c2,age,15,0,0,0
gemini-c2,age,16,4,3,0
gemini-c2,age,17,2,2,1
gemini-c2,age,18,2,1,0
gemini-c2,age,19,4,3,1
gemini-c3,age,0,10,6,0
gemini-c3,age,1,10,4,2
gemini-c3,age,2,12,5,2
gemini-c3,age,3,7,4,2
gemini-c3,age,4,8,4,2
gemini-c3,age,5,3,2,0
gemini-c3,age,6,5,2,1
gemini-c3,age,7,6,0,0
gemini-c3,age,8,4,2,2
gemini-c3,age,9,8,4,4
gemini-c3,age,10,2,2,0
gemini-c3,age,11,4,1,0
gemini-c3,age,12,4,0,0
gemini-c3,age,13,2,2,2
gemini-c3,age,14,6,1,0
gemini-c3,age,15,2,1,0
gemini-c3,age,16,4,1,0
gemini-c3,age,17,2,0,0
gemini-c3,age,18,0,0,0
gemini-c3,age,19,4,2,2
gemini-c4,age,0,14,1,0
gemini-c4,age,1,14,1,0
gemini-c4,age,2,13,1,1
gemini-c4,age,3,10,0,0
gemini-c4,age,4,11,1,1
gemini-c4,age,5,4,0,0
gemini-c4,age,6,7,0,0
gemini-c4,age,7,7,0,0
gemini-c4,age,8,6,0,0
gemini-c4,age,9,9,0,0
gemini-c4,age,10,2,0,0
gemini-c4,age,11,6,0,0
gemini-c4,age,12,5,0,0
gemini-c4,age,13,5,0,0
gemini-c4,age,14,8,0,0
gemini-c4,age,15,1,0,0
gemini-c4,age,16,4,0,0
gemini-c4,age,17,2,0,0
gemini-c4,age,18,2,0,0
gemini-c4,age,19,4,0,0
gemini-c5,age,0,14,0,0
gemini-c5,age,1,12,1,0
gemini-c5,age,2,10,2,0
gemini-c5,age,3,7,1,1
gemini-c5,age,4,8,0,0
gemini-c5,age,5,5,0,0
gemini-c5,age,6,6,0,0
gemini-c5,age,7,6,2,0
gemini-c5,age,8,4,1,1
gemini-c5,age,9,7,0,0
gemini-c5,age,10,3,0,0
gemini-c5,age,11,4,0,0
gemini-c5,age,12,3,1,0
gemini-c5,age,13,1,0,0
gemini-c5,age,14,4,0,0
gemini-c5,age,15,2,0,0
gemini-c5,age,16,4,0,0
gemini-c5,age,17,2,0,0
gemini-c5,age,18,0,0,0
gemini-c5,age,19,2,0,0
gpt-c1,age,0,4,0,0
gpt-c1,age,1,6,0,0
gpt-c1,age,2,7,0,0
gpt-c1,age,3,6,0,0
gpt-c1,age,4,6,0,0
gpt-c1,age,5,2,0,0
gpt-c1,age,6,2,0,0
gpt-c1,age,7,4,0,0
gpt-c1,age,8,4,0,0
gpt-c1,age,9,5,0,0
gpt-c1,age,10,0,0,0
gpt-c1,age,11,2,0,0
gpt-c1,age,12,2,0,0
gpt-c1,age,13,4,0,0
gpt-c1,age,14,4,0,0
gpt-c1,age,15,0,0,0
gpt-c1,age,16,2,0,0
gpt-c1,age,17,0,0,0
gpt-c1,age,18,1,0,0
gpt-c1,age,19,2,0,0
gpt-c2,age,0,6,3,2
gpt-c2,age,1,6,0,0
gpt-c2,age,2,8,3,2
gpt-c2,age,3,8,2,2
gpt-c2,age,4,8,3,2
gpt-c2,age,5,2,0,0
gpt-c2,age,6,2,0,0
gpt-c2,age,7,4,1,0
gpt-c2,age,8,6,3,1
gpt-c2,age,9,7,3,2
gpt-c2,age,10,0,0,0
gpt-c2,age,11,2,1,0
gpt-c2,age,12,2,0,0
gpt-c2,age,13,5,3,2
gpt-c2,age,14,6,3,1
gpt-c2,age,15,0,0,0
gpt-c2,age,16,2,0,0
gpt-c2,age,17,0,0,0
gpt-c2,age,18,1,0,0
gpt-c2,age,19,4,2,2
gpt-c3,age,0,11,5,3
gpt-c3,age,1,10,0,0
gpt-c3,age,2,12,4,4
gpt-c3,age,3,8,2,2
gpt-c3,age,4,8,5,4
gpt-c3,age,5,3,2,0
gpt-c3,age,6,6,0,0
gpt-c3,age,7,5,0,0
gpt-c3,age,8,4,2,2
gpt-c3,age,9,6,2,2
gpt-c3,age,10,2,2,0
gpt-c3,age,11,4,0,0
gpt-c3,age,12,4,0,0
gpt-c3,age,13,2,2,2
gpt-c3,age,14,6,2,1
gpt-c3,age,15,2,2,0
gpt-c3,age,16,4,0,0
gpt-c3,age,17,2,0,0
gpt-c3,age,18,0,0,0
gpt-c3,age,19,4,2,2
gpt-c4,age,0,14,0,0
gpt-c4,age,1,14,1,0
gpt-c4,age,2,12,0,0
gpt-c4,age,3,11,2,1
gpt-c4,age,4,11,2,1
gpt-c4,age,5,6,2,1
gpt-c4,age,6,7,1,0
gpt-c4,age,7,6,0,0
gpt-c4,age,8,8,1,1
gpt-c4,age,9,9,1,1
gpt-c4,age,10,3,0,0
gpt-c4,age,11,5,1,0
gpt-c4,age,12,5,0,0
gpt-c4,age,13,7,1,1
gpt-c4,age,14,8,0,0
gpt-c4,age,15,2,0,0
gpt-c4,age,16,4,0,0
gpt-c4,age,17,2,0,0
gpt-c4,age,18,3,0,0
gpt-c4,age,19,4,0,0
gpt-c5,age,0,10,0,0
gpt-c5,age,1,10,0,0
gpt-c5,age,2,9,0,0
gpt-c5,age,3,9,1,0
gpt-c5,age,4,7,1,1
gpt-c5,age,5,2,0,0
gpt-c5,age,6,6,0,0
gpt-c5,age,7,5,0,0
gpt-c5,age,8,5,1,1
gpt-c5,age,9,6,0,0
gpt-c5,age,10,2,0,0
gpt-c5,age,11,4,0,0
gpt-c5,age,12,4,0,0
gpt-c5,age,13,1,1,1
gpt-c5,age,14,6,0,0
gpt-c5,age,15,2,0,0
gpt-c5,age,16,4,0,0
gpt-c5,age,17,2,0,0
gpt-c5,age,18,0,0,0
gpt-c5,age,19,2,0,0
haiku-c1,age,0,4,0,0
haiku-c1,age,1,6,1,0
haiku-c1,age,2,6,0,0
haiku-c1,age,3,5,0,0
haiku-c1,age,4,7,1,1
haiku-c1,age,5,2,0,0
haiku-c1,age,6,2,0,0
haiku-c1,age,7,4,0,0
haiku-c1,age,8,4,0,0
haiku-c1,age,9,7,1,1
haiku-c1,age,10,0,0,0
haiku-c1,age,11,2,0,0
haiku-c1,age,12,2,0,0
haiku-c1,age,13,4,0,0
haiku-c1,age,14,4,0,0
haiku-c1,age,15,0,0,0
haiku-c1,age,16,2,0,0
haiku-c1,age,17,0,0,0
haiku-c1,age,18,2,0,0
haiku-c1,age,19,2,0,0
haiku-c2,age,0,10,4,2
haiku-c2,age,1,9,4,4
haiku-c2,age,2,10,4,4
haiku-c2,age,3,10,4,4
haiku-c2,age,4,12,6,6
haiku-c2,age,5,4,2,0
haiku-c2,age,6,7,3,3
haiku-c2,age,7,3,0,0
haiku-c2,age,8,6,3,3
haiku-c2,age,9,9,4,4
haiku-c2,age,10,2,2,0
haiku-c2,age,11,4,2,2
haiku-c2,age,12,2,0,0
haiku-c2,age,13,2,1,1
haiku-c2,age,14,7,3,3
haiku-c2,age,15,1,1,0
haiku-c2,age,16,4,2,2
haiku-c2,age,17,0,0,0
haiku-c2,age,18,0,0,0
haiku-c2,age,19,4,2,2
haiku-c3,age,0,12,8,6
haiku-c3,age,1,11,5,4
haiku-c3,age,2,12,5,5
haiku-c3,age,3,9,3,2
haiku-c3,age,4,9,5,5
haiku-c3,age,5,3,2,0
haiku-c3,age,6,6,4,4
haiku-c3,age,7,5,2,2
haiku-c3,age,8,5,3,2
haiku-c3,age,9,8,4,4
haiku-c3,age,10,2,2,0
haiku-c3,age,11,4,2,2
haiku-c3,age,12,4,2,2
haiku-c3,age,13,3,3,2
haiku-c3,age,14,7,3,3
haiku-c3,age,15,2,2,0
haiku-c3,age,16,3,1,1
haiku-c3,age,17,2,2,2
haiku-c3,age,18,1,1,0
haiku-c3,age,19,4,2,2
haiku-c4,age,0,13,1,1
haiku-c4,age,1,12,1,0
haiku-c4,age,2,12,1,1
haiku-c4,age,3,10,0,0
haiku-c4,age,4,12,2,2
haiku-c4,age,5,5,2,0
haiku-c4,age,6,7,1,0
haiku-c4,age,7,7,0,0
haiku-c4,age,8,6,0,0
haiku-c4,age,9,9,1,1
haiku-c4,age,10,3,0,0
haiku-c4,age,11,5,1,0
haiku-c4,age,12,5,0,0
haiku-c4,age,13,4,0,0
haiku-c4,age,14,7,0,0
haiku-c4,age,15,1,0,0
haiku-c4,age,16,4,0,0
haiku-c4,age,17,2,0,0
haiku-c4,age,18,2,0,0
haiku-c4,age,19,4,0,0
haiku-c5,age,0,14,0,0
haiku-c5,age,1,12,0,0
haiku-c5,age,2,10,0,0
haiku-c5,age,3,8,1,1
haiku-c5,age,4,8,0,0
haiku-c5,age,5,6,0,0
haiku-c5,age,6,5,0,0
haiku-c5,age,7,5,0,0
haiku-c5,age,8,6,3,2
haiku-c5,age,9,6,0,0
haiku-c5,age,10,4,1,0
haiku-c5,age,11,4,0,0
haiku-c5,age,12,4,0,0
haiku-c5,age,13,0,0,0
haiku-c5,age,14,6,0,0
haiku-c5,age,15,0,0,0
haiku-c5,age,16,4,0,0
haiku-c5,age,17,2,0,0
haiku-c5,age,18,0,0,0
haiku-c5,age,19,4,0,0
